price,points,country,province,price_per_country_mean,price_per_country_mean_diff,price_per_country_median,price_per_country_median_diff,price_per_province_mean,price_per_province_mean_diff,price_per_province_median,price_per_province_median_diff,points_per_country_mean,points_per_country_median,points_per_province_mean,points_per_province_median
30.0,90,Italy,Northeastern Italy,39.645133428557564,-9.645133428557564,34.5,-4.5,26.863261671016115,3.136738328983885,23.5,6.5,88.64735945485519,88.0,88.0,88.0
22.0,87,France,Loire Valley,40.08589605462504,-18.08589605462504,30.0,-8.0,27.215918147549825,-5.215918147549825,25.0,-3.0,88.80617372577171,89.0,88.408,88.0
35.317716747442105,86,Italy,Tuscany,39.645133428557564,-4.327416681115459,34.5,0.8177167474421054,47.502078681100365,-12.18436193365826,35.317716747442105,0.0,88.64735945485519,88.0,89.08587257617728,89.0
50.0,92,US,California,36.23818813834525,13.76181186165475,30.0,20.0,38.68686189197347,11.313138108026529,33.0,17.0,88.59421613394215,88.0,88.67250115154307,89.0
38.0,93,US,California,36.23818813834525,1.7618118616547491,30.0,8.0,38.68686189197347,-0.6868618919734715,33.0,5.0,88.59421613394215,88.0,88.67250115154307,89.0
14.0,84,US,California,36.23818813834525,-22.23818813834525,30.0,-16.0,38.68686189197347,-24.68686189197347,33.0,-19.0,88.59421613394215,88.0,88.67250115154307,89.0
25.0,87,US,New York,36.23818813834525,-11.23818813834525,30.0,-5.0,21.666666666666668,3.333333333333332,20.0,5.0,88.59421613394215,88.0,87.01785714285714,87.0
35.0,84,US,California,36.23818813834525,-1.2381881383452509,30.0,5.0,38.68686189197347,-3.6868618919734715,33.0,2.0,88.59421613394215,88.0,88.67250115154307,89.0
35.317716747442105,94,France,Bordeaux,40.08589605462504,-4.768179307182933,30.0,5.317716747442105,35.069461044637414,0.24825570280469123,29.0,6.317716747442105,88.80617372577171,89.0,88.49864498644986,88.0
12.0,88,France,Bordeaux,40.08589605462504,-28.08589605462504,30.0,-18.0,35.069461044637414,-23.069461044637414,29.0,-17.0,88.80617372577171,89.0,88.49864498644986,88.0
14.0,85,US,California,36.23818813834525,-22.23818813834525,30.0,-16.0,38.68686189197347,-24.68686189197347,33.0,-19.0,88.59421613394215,88.0,88.67250115154307,89.0
20.0,87,US,California,36.23818813834525,-16.23818813834525,30.0,-10.0,38.68686189197347,-18.68686189197347,33.0,-13.0,88.59421613394215,88.0,88.67250115154307,89.0
45.0,92,US,Washington,36.23818813834525,8.76181186165475,30.0,15.0,32.15239425095908,12.847605749040923,28.0,17.0,88.59421613394215,88.0,88.8546511627907,89.0
