price,points,country,province
30.0,90,Italy,Northeastern Italy
22.0,87,France,Loire Valley
35.31771674744211,86,Italy,Tuscany
50.0,92,US,California
38.0,93,US,California
14.0,84,US,California
25.0,87,US,New York
35.0,84,US,California
35.31771674744211,94,France,Bordeaux
12.0,88,France,Bordeaux
14.0,85,US,California
20.0,87,US,California
45.0,92,US,Washington
32.0,87,US,California
15.0,86,South Africa,Western Cape
25.0,91,Australia,Western Australia
24.0,89,Australia,Western Australia
14.0,86,Italy,Veneto
60.0,93,Australia,South Australia
100.0,95,US,California
27.0,88,Australia,Victoria
65.0,92,Italy,Veneto
33.0,91,Argentina,Mendoza Province
35.31771674744211,87,France,Bordeaux
12.0,86,Argentina,Other
46.0,93,US,California
34.0,91,Germany,Mittelrhein
35.31771674744211,90,Austria,Wachau
50.0,90,US,California
40.0,91,Australia,Tasmania
19.0,89,New Zealand,Hawke's Bay
42.0,93,US,Washington
140.0,92,Italy,Tuscany
50.0,88,Italy,Piedmont
75.0,92,US,California
16.0,87,Chile,Maule Valley
42.0,86,US,California
22.0,90,US,California
15.0,87,Australia,South Australia
16.0,86,France,Languedoc-Roussillon
34.0,89,US,California
13.0,86,France,Bordeaux
37.0,91,South Africa,Overberg
20.0,87,France,Bordeaux
180.0,93,Italy,Tuscany
150.0,95,Italy,Tuscany
20.0,82,US,California
42.0,88,US,New York
27.0,88,US,Oregon
11.0,81,Chile,Central Valley
65.0,92,US,California
25.0,86,US,Oregon
8.0,84,Chile,Central Valley
14.0,87,Spain,Northern Spain
35.0,92,New Zealand,Waiheke Island
42.0,91,US,Washington
65.0,90,US,California
15.0,84,US,Oregon
33.0,91,Chile,Casablanca Valley
86.0,94,US,Oregon
10.0,84,Portugal,Lisboa
30.0,92,US,California
18.0,88,Spain,Catalonia
17.0,85,Spain,Northern Spain
80.0,92,Italy,Piedmont
12.0,90,South Africa,Robertson
19.0,89,Italy,Tuscany
15.0,87,US,California
35.0,93,US,Washington
35.31771674744211,93,France,Alsace
20.0,90,US,California
35.0,87,US,California
32.0,86,US,California
48.0,94,US,California
7.0,85,US,California
18.0,85,Austria,Burgenland
19.0,88,Spain,Northern Spain
20.0,89,Italy,Piedmont
13.0,88,Italy,Northeastern Italy
11.0,86,US,Washington
61.0,94,France,Champagne
60.0,88,US,California
12.0,86,Chile,Cachapoal Valley
25.0,84,Chile,Aconcagua Valley
10.0,85,Italy,Northeastern Italy
35.0,87,US,California
20.0,87,France,France Other
34.0,92,Austria,Burgenland
15.0,86,US,California
15.0,89,Spain,Northern Spain
18.0,88,Italy,Veneto
100.0,93,US,California
14.0,85,US,California
25.0,81,Italy,Sicily & Sardinia
21.0,87,Argentina,Mendoza Province
50.0,87,US,California
35.31771674744211,91,France,Loire Valley
41.0,89,Canada,British Columbia
13.0,83,US,New Jersey
15.0,83,US,Washington
95.0,94,US,Oregon
22.0,86,Portugal,Tejo
85.0,90,France,Burgundy
80.0,90,Portugal,Port
34.0,87,France,Burgundy
14.0,86,US,California
15.0,88,Chile,Chile
16.0,86,Spain,Galicia
26.0,85,US,New York
103.0,92,France,Burgundy
15.0,86,US,California
49.0,86,US,California
50.0,90,US,California
18.0,88,Italy,Southern Italy
60.0,94,Italy,Piedmont
35.31771674744211,89,Italy,Sicily & Sardinia
95.0,91,Australia,Victoria
35.0,89,US,Oregon
12.0,85,US,California
77.0,89,US,California
55.0,86,US,California
25.0,91,Italy,Tuscany
14.0,83,Chile,Colchagua Valley
35.31771674744211,84,US,Virginia
38.0,90,US,California
25.0,88,Spain,Northern Spain
25.0,86,US,New York
21.0,88,France,Loire Valley
26.0,90,France,Provence
58.0,92,US,California
15.0,85,US,California
44.0,91,Canada,British Columbia
65.0,95,France,Champagne
22.0,84,Italy,Tuscany
69.0,91,US,California
15.0,87,Italy,Tuscany
20.0,94,US,Washington
45.0,92,US,California
20.0,82,US,California
26.0,84,US,California
179.0,92,France,Champagne
15.0,87,Portugal,Douro
11.0,86,US,California
30.0,88,France,Alsace
11.0,84,Italy,Central Italy
145.0,94,US,California
22.0,87,Italy,Veneto
20.0,94,France,Provence
14.0,88,Germany,Mosel
75.0,93,US,California
50.0,90,US,California
22.0,87,US,Washington
120.0,86,Spain,Northern Spain
49.0,86,US,California
15.0,87,US,Washington
12.0,86,Argentina,Other
35.31771674744211,91,France,Southwest France
35.31771674744211,85,Chile,Aconcagua Valley
19.0,88,US,Washington
35.31771674744211,90,France,Alsace
65.0,93,US,California
19.0,82,US,Washington
365.0,94,Germany,Rheingau
40.0,91,France,Champagne
35.31771674744211,87,France,Bordeaux
25.0,88,Italy,Piedmont
90.0,91,France,Alsace
38.0,87,US,California
35.31771674744211,89,Austria,Thermenregion
35.0,90,Italy,Lombardy
32.0,89,Italy,Tuscany
11.0,86,Chile,Maule Valley
12.0,88,France,Bordeaux
35.31771674744211,90,Portugal,Lisboa
40.0,92,Spain,Northern Spain
135.0,92,US,California
38.0,92,Austria,Wachau
25.0,83,US,California
35.0,88,France,Bordeaux
42.0,90,Germany,Franken
47.0,93,Portugal,Alentejo
12.0,87,France,Provence
29.0,86,US,Washington
23.0,88,Portugal,Port
50.0,87,US,Washington
26.0,85,US,Oregon
40.0,92,Spain,Northern Spain
22.0,87,Italy,Tuscany
20.0,85,Chile,Limarí Valley
83.0,92,Italy,Piedmont
8.0,86,Portugal,Alentejano
25.0,83,US,California
50.0,86,US,California
10.0,87,US,Washington
25.0,89,Hungary,Tokaj
30.0,87,Italy,Central Italy
10.0,83,Chile,Central Valley
9.0,85,Chile,Maipo Valley
45.0,92,US,California
14.0,83,US,California
16.0,86,US,New York
40.0,86,Italy,Northeastern Italy
30.0,90,Chile,Maipo Valley
24.0,87,Italy,Northeastern Italy
14.0,87,Italy,Northeastern Italy
35.31771674744211,87,France,Burgundy
36.0,87,US,California
25.0,90,France,Loire Valley
39.0,91,New Zealand,Central Otago
30.0,83,US,California
35.31771674744211,87,France,Languedoc-Roussillon
35.0,83,US,California
35.0,85,Italy,Tuscany
25.0,87,US,California
32.0,90,US,Washington
50.0,92,England,England
55.0,93,US,California
80.0,90,Spain,Northern Spain
22.0,89,Spain,Northern Spain
25.0,89,Chile,Casablanca Valley
22.0,89,Slovenia,Goriska Brda
25.0,88,US,California
16.0,82,Italy,Tuscany
15.0,87,US,Oregon
36.0,92,Austria,Weinland Österreich
20.0,89,US,Oregon
35.31771674744211,86,Portugal,Alentejano
70.0,90,Germany,Mosel
25.0,88,Spain,Galicia
35.31771674744211,87,France,Loire Valley
30.0,86,US,California
40.0,90,Italy,Sicily & Sardinia
17.0,88,Austria,Niederösterreich
24.0,87,Israel,Judean Hills
14.0,87,Italy,Veneto
14.0,85,France,Bordeaux
20.0,89,Argentina,Mendoza Province
22.0,90,France,Alsace
35.31771674744211,89,Portugal,Douro
40.0,91,Portugal,Douro
9.0,84,Spain,Northern Spain
30.0,88,US,Washington
50.0,92,Australia,South Australia
30.0,90,US,Washington
53.0,89,Spain,Spanish Islands
23.0,85,Chile,Elqui Valley
33.0,88,Argentina,Mendoza Province
20.0,90,France,Provence
25.0,84,US,California
36.0,88,US,Washington
35.31771674744211,85,Italy,Piedmont
22.0,90,US,California
35.31771674744211,85,Italy,Tuscany
30.0,91,US,California
